"date","device","visitors","visits","visit_duration","bounces","pageviews"
"2025-07-26","Desktop",2,2,642,1,4
"2025-07-27","Desktop",1,1,3133,0,3
"2025-07-27","Mobile",2,2,0,2,2
"2025-07-28","Desktop",4,4,0,4,4
"2025-07-29","Mobile",2,2,7,1,2
"2025-08-01","Desktop",1,1,0,1,1
"2025-08-01","Mobile",1,1,0,1,1
"2025-08-03","Desktop",2,2,2640,0,7
"2025-08-04","Desktop",5,6,1032,2,12
"2025-08-05","Desktop",7,12,9475,4,26
"2025-08-06","Desktop",2,2,1842,0,3
"2025-08-07","Desktop",2,3,1988,0,4
"2025-08-08","Mobile",2,2,0,2,2
"2025-08-08","Desktop",3,3,1416,1,5
"2025-08-09","Desktop",3,8,1488,4,13
"2025-08-10","Desktop",6,9,5856,2,9
"2025-08-11","Desktop",4,7,2101,0,7
"2025-08-12","Desktop",3,6,2751,3,11
"2025-08-13","Mobile",1,1,0,1,1
"2025-08-13","Desktop",5,5,4,3,6
"2025-08-14","Desktop",3,3,0,3,3
"2025-08-15","Mobile",1,1,0,1,1
"2025-08-16","Desktop",1,1,0,1,1
