"date","entry_page","visitors","entrances","visit_duration","bounces","pageviews"
"2025-07-26","/",2,2,642,1,4
"2025-07-27","/",3,3,3133,2,5
"2025-07-28","/",4,4,0,4,4
"2025-07-29","/",2,2,7,1,2
"2025-08-01","/",2,2,0,2,2
"2025-08-03","/",2,2,2640,0,7
"2025-08-04","/",5,6,1032,2,12
"2025-08-05","/",3,4,6801,1,12
"2025-08-05","",1,1,2,0,0
"2025-08-05","/search/f6b383f1-cc06-48f2-a23c-138e4092d9d9",2,3,1026,2,8
"2025-08-05","/search/ddae9fe2-261c-4dbc-9745-54e57db96628",1,1,0,1,1
"2025-08-05","/search/54dd8e21-add0-4c2b-8493-4c73667f04af",1,1,302,0,2
"2025-08-05","/search/2cf55642-fd17-41fe-871c-ee84caaccc37",1,1,2,0,1
"2025-08-05","/search/eb07e7be-82d9-4cef-97fd-1a039a0bd27c",1,1,1342,0,2
"2025-08-06","/search/eb07e7be-82d9-4cef-97fd-1a039a0bd27c",2,2,1842,0,3
"2025-08-07","/",1,1,1982,0,2
"2025-08-07","/search/5ca831a9-af7d-4458-835e-feb5c1190d7a",1,1,3,0,1
"2025-08-07","/search/eb07e7be-82d9-4cef-97fd-1a039a0bd27c",1,1,3,0,1
"2025-08-08","/",4,4,1131,3,5
"2025-08-08","/search/42a03952-1c74-443f-8070-f06242d5528e",1,1,285,0,2
"2025-08-09","/search/47955c6d-4afa-48c2-bc3d-58a0ee868bad",1,2,0,2,2
"2025-08-09","/",3,5,1488,2,11
"2025-08-09","",1,1,0,0,0
"2025-08-10","/",3,5,1054,2,7
"2025-08-10","",3,3,4783,0,0
"2025-08-10","/search/a87692a4-5254-4bb3-bea2-ea5ab0ab3b4d",1,1,19,0,2
"2025-08-11","/search/02bb6426-5cc5-408d-a298-9213e5db2d07",2,3,947,0,3
"2025-08-11","",2,3,32,0,0
"2025-08-11","/",1,1,1122,0,4
"2025-08-12","/",3,6,2751,3,11
"2025-08-13","/",4,4,0,4,4
"2025-08-13","/privacy-policy",1,1,1,0,2
"2025-08-13","/search/a87692a4-5254-4bb3-bea2-ea5ab0ab3b4d",1,1,3,0,1
"2025-08-14","/",3,3,0,3,3
"2025-08-15","/",1,1,0,1,1
"2025-08-16","/",1,1,0,1,1
