"date","exit_page","visitors","visit_duration","exits","bounces","pageviews"
"2025-07-26","/",2,642,2,1,4
"2025-07-27","/",3,3133,3,2,5
"2025-07-28","/",4,0,4,4,4
"2025-07-29","/",2,7,2,1,2
"2025-08-01","/",2,0,2,2,2
"2025-08-03","/search/36d6c170-d8ba-461f-8ff6-5e0307ecbafa",1,2609,1,0,6
"2025-08-03","/",1,31,1,0,1
"2025-08-04","/",5,1032,6,2,12
"2025-08-05","/",3,9,3,1,3
"2025-08-05","/search/eb07e7be-82d9-4cef-97fd-1a039a0bd27c",2,2368,2,0,8
"2025-08-05","",1,2,1,0,0
"2025-08-05","/search/f6b383f1-cc06-48f2-a23c-138e4092d9d9",1,0,2,2,2
"2025-08-05","/search/814cf723-6cb4-40c0-94b9-4de0d98147e9",1,6792,1,0,9
"2025-08-05","/search/ddae9fe2-261c-4dbc-9745-54e57db96628",2,302,2,1,3
"2025-08-05","/search/2cf55642-fd17-41fe-871c-ee84caaccc37",1,2,1,0,1
"2025-08-06","/",1,1823,1,0,2
"2025-08-06","/search/eb07e7be-82d9-4cef-97fd-1a039a0bd27c",1,19,1,0,1
"2025-08-07","/",1,1982,1,0,2
"2025-08-07","/search/5ca831a9-af7d-4458-835e-feb5c1190d7a",1,3,1,0,1
"2025-08-07","/search/eb07e7be-82d9-4cef-97fd-1a039a0bd27c",1,3,1,0,1
"2025-08-08","/",4,1131,4,3,5
"2025-08-08","/search/42a03952-1c74-443f-8070-f06242d5528e",1,285,1,0,2
"2025-08-09","/search/47955c6d-4afa-48c2-bc3d-58a0ee868bad",1,0,2,2,2
"2025-08-09","/search/6f71f989-142b-4534-94df-51d614aa044b",1,474,1,0,2
"2025-08-09","/",3,1014,4,2,9
"2025-08-09","",1,0,1,0,0
"2025-08-10","/",2,206,4,2,5
"2025-08-10","/search/89f88ad5-c6b7-4735-8c13-7af6ed327a8c",1,848,1,0,2
"2025-08-10","",3,4783,3,0,0
"2025-08-10","/search/a87692a4-5254-4bb3-bea2-ea5ab0ab3b4d",1,19,1,0,2
"2025-08-11","/search/02bb6426-5cc5-408d-a298-9213e5db2d07",2,947,3,0,3
"2025-08-11","",2,32,3,0,0
"2025-08-11","/",1,1122,1,0,4
"2025-08-12","/",3,2696,5,3,9
"2025-08-12","/about",1,55,1,0,2
"2025-08-13","/terms",1,1,1,0,2
"2025-08-13","/search/a87692a4-5254-4bb3-bea2-ea5ab0ab3b4d",1,3,1,0,1
"2025-08-13","/",4,0,4,4,4
"2025-08-14","/",3,0,3,3,3
"2025-08-15","/",1,0,1,1,1
"2025-08-16","/",1,0,1,1,1
