"date","country","region","city","visitors","visits","visit_duration","bounces","pageviews"
"2025-07-26","VN","VN-SG",1566083,1,1,0,1,1
"2025-07-26","US","US-IL",4898846,1,1,642,0,3
"2025-07-27","US","US-IL",4898846,1,1,3133,0,3
"2025-07-27","US","US-IA",4859658,1,1,0,1,1
"2025-07-27","US","US-IL",4887398,1,1,0,1,1
"2025-07-28","A1","",0,1,1,0,1,1
"2025-07-28","US","US-IL",4887398,2,2,0,2,2
"2025-07-28","US","US-IL",4898846,1,1,0,1,1
"2025-07-29","US","US-IL",4898846,1,1,7,0,1
"2025-07-29","US","US-IL",4887398,1,1,0,1,1
"2025-08-01","CZ","",0,1,1,0,1,1
"2025-08-01","US","US-IL",4887398,1,1,0,1,1
"2025-08-03","US","US-IL",4887398,1,1,2609,0,6
"2025-08-03","US","US-IL",4898846,1,1,31,0,1
"2025-08-04","US","US-IL",4898846,3,4,993,2,8
"2025-08-04","US","US-IL",4887398,2,2,39,0,4
"2025-08-05","US","US-IL",4898846,3,8,8122,4,21
"2025-08-05","A1","",0,1,1,6,0,1
"2025-08-05","US","US-IL",4887398,3,3,1347,0,4
"2025-08-06","US","US-IL",4898846,1,1,19,0,1
"2025-08-06","A1","",0,1,1,1823,0,2
"2025-08-07","US","US-IL",4898846,1,1,3,0,1
"2025-08-07","A1","",0,1,2,1985,0,3
"2025-08-08","A1","",0,1,1,1131,0,2
"2025-08-08","US","US-IL",4887398,1,1,285,0,2
"2025-08-08","US","",0,2,2,0,2,2
"2025-08-08","US","US-IL",4898846,1,1,0,1,1
"2025-08-09","US","US-IL",4887398,1,1,0,1,1
"2025-08-09","US","US-IL",4898846,2,7,1488,3,12
"2025-08-10","US","US-IL",4887398,1,1,2004,0,0
"2025-08-10","US","US-IL",4889229,1,2,2473,0,2
"2025-08-10","US","US-IL",4898846,3,5,1360,2,5
"2025-08-10","A1","",0,1,1,19,0,2
"2025-08-11","A1","",0,1,4,941,0,2
"2025-08-11","US","US-IL",4887398,1,1,1122,0,4
"2025-08-11","US","US-IL",4898846,1,1,30,0,0
"2025-08-11","US","",0,1,1,8,0,1
"2025-08-12","US","US-IL",4898846,2,5,2751,2,10
"2025-08-12","A1","",0,1,1,0,1,1
"2025-08-13","US","US-VA",4792307,2,2,1,1,3
"2025-08-13","US","US-IL",4898846,2,2,3,1,2
"2025-08-13","A1","",0,1,1,0,1,1
"2025-08-13","VN","VN-SG",9645048,1,1,0,1,1
"2025-08-14","US","US-NY",5110302,1,1,0,1,1
"2025-08-14","US","US-VA",4792307,2,2,0,2,2
"2025-08-15","US","US-CA",5391959,1,1,0,1,1
"2025-08-16","US","US-VA",4792307,1,1,0,1,1
